",director,rank1_count"
"18,김한민,48"
"80,장재현,48"
"97,최동훈,39"
"2,강형철,38"
"124,황병국,35"
"75,이한,34"
"35,류승완,31"
"66,우민호,29"
"52,브래드 버드,28"
"121,허명행,28"
"9,김성수,28"
"102,켈시 만,27"
"51,봉준호,24"
"115,페데 알바레즈,24"
"91,조스 웨던,23"
"54,소토자키 하루오,23"
"119,필감성,23"
"117,폴 킹,22"
"23,남대중,22"
"73,이용주,21"
"19,김형주,21"
"8,김석윤,21"
"123,황동혁,20"
"4,곽경택,18"
"98,최원섭,17"
"96,줄리어스 오나,16"
"90,조셉 코신스키,16"
"69,윤종빈,16"
"17,김한결,15"
"55,숀 레비,15"
"12,김진영,14"
"6,김대승,14"
"42,미야자키 하야오,14"
"50,변영주,14"
"109,크리스토퍼 맥쿼리,14"
"64,여인영,14"
"38,마이클 베이,14"
"74,이종필,13"
"118,피터 버그,13"
"101,켈리 마르셀,13"
"37,마이크 미첼,13"
"46,박정우,13"
"87,조나단 리브스만,13"
"30,데이빗 예이츠,13"
"56,스테파니 스티네,13"
"93,조지 밀러,12"
"67,유하,11"
"70,이규만,11"
"125,황인호,11"
"43,민규동,10"
"65,연상호,10"
"32,딘 데블로이스,10"
"26,대런 아로노프스키,10"
"113,톰 맥그라스,10"
"85,정태원,9"
"0,가렛 에드워즈,9"
"49,배리 소넨필드,9"
"29,데이브 데릭 주니어,9"
"47,박찬욱,9"
"39,마크 웹,8"
"21,김휘,8"
"99,추창민,8"
"82,저스틴 린,8"
"83,전계수,8"
"114,톰 후퍼,8"
"33,라희찬,8"
"58,심형래,8"
"36,리들리 스콧,7"
"84,정지영,7"
"24,니아 다코스타,7"
"95,존 추,7"
"34,롭 마샬,7"
"100,케네스 브래너,7"
"20,김홍선,7"
"105,크리스 밀러,7"
"63,엠마 타미,7"
"106,크리스 벅,7"
"71,이석훈,7"
"16,김태용,7"
"110,토니 길로이,7"
"45,박영주,7"
"1,강우석,7"
"116,폰 비라선손,7"
"122,허진호,7"
"108,크리스토퍼 놀란,6"
"11,김지훈,6"
"88,조범구,6"
"89,조선호,6"
"94,조진모,6"
"27,댄 트라첸버그,5"
"41,매튜 본,5"
"7,김병우,5"
"53,빌 콘돈,4"
"68,윤재근,4"
"48,박철관,4"
"44,박범수,3"
"60,아드리안 몰리나,3"
"62,에릭 다넬,3"
"40,매들린 샤라피안,3"
"10,김주호,3"
"103,콘래드 베논,3"
"5,권혁재,3"
"81,장훈,3"
"86,제임스 건,3"
"31,도미 시,3"
"59,심형준,2"
"72,이요섭,2"
"25,대니 보일,2"
"112,토마스 고,2"
"14,김창주,2"
"120,하야시 유이치로,1"
"3,고쇼조노 쇼타,1"
"61,안국진,1"
"13,김진황,1"
"92,조장호,1"
"15,김태곤,1"
"111,토드 필립스,1"
"57,시게하라 카츠야,1"
"107,크리스 샌더스,1"
"76,임대희,1"
"104,크리스 리노드,1"
"77,임상수,1"
"78,자레드 헤스,1"
"79,장성호,1"
"22,나가오카 치카,1"
"28,던칸 존스,1"
